FID,id,navn,loebenummer,web_id,x,y,longitude,latitude,graffitirenhold,wkb_geometry
monumenter.332,65152,Spydsspidsen,358,468,722767.866488,6177084.291256,12.544199,55.688311,Ja,MULTIPOINT ((12.544199270759997 55.68831080210675))
monumenter.333,65153,Før og efter øjeblikket,371,488,724171.11997,6177382.545506,12.56672,55.69034,Ja,MULTIPOINT ((12.56672021136738 55.69033970455055))
monumenter.334,65154,Isbjørn,177,222,724431.361071,6175736.189718,12.569505,55.675455,Nej,MULTIPOINT ((12.569505157848312 55.67545502058792))
monumenter.335,65155,Vægter,109,162,724441.755607,6175755.029816,12.569686,55.675619,Nej,MULTIPOINT ((12.569685523773733 55.675619175683856))
monumenter.336,65156,Vægter,109,162,724435.583851,6175748.208401,12.569582,55.675561,Nej,MULTIPOINT ((12.569582000070785 55.67556085289498))
monumenter.337,65157,Vægter,109,162,724429.57451,6175740.899742,12.569481,55.675498,Nej,MULTIPOINT ((12.569480655847354 55.675498085385115))
monumenter.338,65158,Vægter,109,162,724452.799803,6175769.647133,12.569873,55.675745,Nej,MULTIPOINT ((12.569872748553943 55.67574516052548))
monumenter.339,65159,Vægter,109,162,724458.971559,6175776.793377,12.569977,55.675806,Nej,MULTIPOINT ((12.569976538791941 55.67580639611516))
monumenter.340,65160,Sole og galakser i rum,205,247,727113.551034,6174190.104657,12.610791,55.660344,Nej,MULTIPOINT ((12.610791490293405 55.66034382268525))
monumenter.341,73128,Ung mand med diskos,171,216,722718.671334,6179565.501972,12.545434,55.710585,Ja,MULTIPOINT ((12.545434435560532 55.71058533251071))
monumenter.342,73129,Den humane sygepleje,141,189,722522.929193,6179683.903509,12.542421,55.711737,Ja,MULTIPOINT ((12.542421318165328 55.711737002833274))
monumenter.343,73238,"Pige, der reder sit hår",172,217,722615.469194,6179331.360779,12.543605,55.708533,Ja,MULTIPOINT ((12.543604807226048 55.70853287989212))
monumenter.344,73322,Vågnende pige,117,169,723207.01936,6178031.583233,12.551942,55.696605,Ja,MULTIPOINT ((12.551942170501947 55.6966045549758))
monumenter.345,74034,,,,725178.747685,6178977.169856,12.584027,55.704174,,MULTIPOINT ((12.58402705465962 55.7041737039209))
monumenter.346,74135,Victor Borge,351,458,724984.95177,6178680.098546,12.580705,55.701599,Ja,MULTIPOINT ((12.580705388322764 55.70159951039661))
monumenter.347,74188,Hemmeligheden,133,182,719642.706151,6177499.448442,12.494915,55.693458,Ja,MULTIPOINT ((12.49491548572618 55.693458039550485))
monumenter.348,74278,Mindeplade for danske kvinders valgret,377,,726627.191804,6173068.929897,12.602152,55.650516,,MULTIPOINT ((12.602151756939405 55.650516497676215))
monumenter.349,74279,Fjodor Dostojevskij,375,,723239.347637,6177265.442591,12.551832,55.689719,,MULTIPOINT ((12.55183175434443 55.68971884543261))
monumenter.350,74280,Australske piloter,378,,726036.498104,6177261.788875,12.596235,55.688392,Ja,MULTIPOINT ((12.596234866141684 55.68839193304317))
monumenter.351,74281,Anker Jørgensen,376,514,722502.743363,6172926.643489,12.536621,55.651145,Ja,MULTIPOINT ((12.536621406096701 55.65114537883165))
monumenter.352,74303,Abstrakt skulptur,242,517,726309.712406,6173275.859796,12.597287,55.65252,,MULTIPOINT ((12.597287043385663 55.65252006233001))
monumenter.353,61610,frihedsstøtten,54,24,724048.084953,6175576.570048,12.563292,55.6742,Ja,MULTIPOINT ((12.563292237700383 55.67420047077942))
monumenter.354,61685,Ung pige ,182,227,723469.037888,6175207.865789,12.553803,55.671161,Ja,MULTIPOINT ((12.553802781761208 55.67116059281035))
monumenter.355,61687,Drengebarn med fiasco,99,152,723070.759369,6174734.771639,12.547098,55.667101,Nej,MULTIPOINT ((12.547098329828211 55.667100815257925))
monumenter.356,61688,Venus med æblet,53,107,722825.850468,6174698.102335,12.543183,55.666884,Ja,MULTIPOINT ((12.543182582957266 55.666884323591525))
monumenter.357,61689,Ungdom,162,208,722741.3353,6174654.40278,12.541806,55.666531,Ja,MULTIPOINT ((12.54180613650608 55.66653116237738))
monumenter.358,61690,Apollon og de ni muser,332,425,722682.385705,6174735.539023,12.540937,55.667286,Ja,MULTIPOINT ((12.540936571255003 55.66728583167384))
